Приоритетна област	Дейност	Година	Средства в лв. от националния бюджет	Средства от ЕС и други международни проекти и програми в лв.
Ранно детско развитие	"Дейност 311 ""Детски градини"" "	2019	153616379	5866526
Ранно детско развитие	"Дейност 318 ""Подготвителна група в училище"""	2018	4770754	126527
Ранно детско развитие	"Дейност 359 ""Други дейности за децата"""	2021	56919	52263
Ранно детско развитие	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"" "	2021	158444052	6045316
Компетентности и таланти	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"" "	2021	14767553	118203
Компетентности и таланти	"Дейност 323 ""Училища по културата и училища по изкуствата"" "	2021	5846114	80053
Компетентности и таланти	"Дейност 324 ""Спортни училища"""	2021	4180971	147084
Компетентности и таланти	"Дейност 325 ""Български училища в чужбина"" "	2021	14115843	0
Компетентности и таланти	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"" "	2021	12440701	61290
Компетентности и таланти	"Дейност 337 ""Център за подкрепа за личностно развитие"" "	2021	4179321	3836
Компетентности и таланти	"Дейност 369 ""Други дейности за младежта"" "	2021	3941783	53780
Мотивирани и креативни учители	"Дейност 311 ""Детски градини"" "	2020	663959844	10057330
Мотивирани и креативни учители	"Дейност 312 ""Специални групи в детски градини за деца със СОП"" "	2021	3946347	22143
Мотивирани и креативни учители	"Дейност 318 ""Подготвителна група в училище"" "	2021	18132814	377052
Мотивирани и креативни учители	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	2021	39003321	49319
Мотивирани и креативни учители	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"" "	2021	1613955331	31876540
Мотивирани и креативни учители	"Дейност 323 ""Училища по културата и училища по изкуствата"" "	2021	40621367	134653
Мотивирани и креативни учители	"Дейност 324 ""Спортни училища"""	2021	25865591	237526
Мотивирани и креативни учители	"Дейност 325 ""Български училища в чужбина"" "	2021	1584445	2880
Мотивирани и креативни учители	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"" "	2021	353854851	5069446
Мотивирани и креативни учители	"Дейност 327 ""Училища в места за лишаване от свобода"" "	2021	4295673	0
Мотивирани и креативни учители	"Дейност 334 ""Повишаване на квалификацията"" "	2021	4017735	611447
Мотивирани и креативни учители	"Дейност 337 ""Център за подкрепа за личностно развитие"" "	2021	22950552	65019
Мотивирани и креативни учители	"Дейност 338 ""Ресурсно подпомагане"" "	2021	56542343	34661
Мотивирани и креативни учители	"Дейност 359 ""Други дейности за децата"""	2021	14761	16055
Мотивирани и креативни учители	"Дейност 369 ""Други дейности за младежта"" "	2021	1322332	123574
Сплотени училищни общности и системна работа с родителите	311 Детски градини 	2021		
Сплотени училищни общности и системна работа с родителите	312 Специални групи в детски градини за деца със СОП 	2021		
Сплотени училищни общности и системна работа с родителите	318 Подготвителна група в училище 	2021		
Сплотени училищни общности и системна работа с родителите	321 Специални училища и центрове за специална образователна подкрепа 	2021		
Сплотени училищни общности и системна работа с родителите	322 Неспециализирани училища, без професионални гимназии 	2021		
Сплотени училищни общности и системна работа с родителите	323 Училища по културата и училища по изкуствата 	2021		
Сплотени училищни общности и системна работа с родителите	324 Спортни училища 	2021		
Сплотени училищни общности и системна работа с родителите	325 Български училища в чужбина 	2021		
Сплотени училищни общности и системна работа с родителите	333 Ученически почивни лагери 	2021		
Ефективно включване, трайно приобщаване и образователна интеграция	311 Детски градини 	2021	10928795	16091812
Ефективно включване, трайно приобщаване и образователна интеграция	312 Специални групи в детски градини за деца със СОП 	2021	56841	1646
Ефективно включване, трайно приобщаване и образователна интеграция	318 Подготвителна група в училище 	2021	71477	
