Приоритетна област	Дейност	Модул	Вид	Средства	Година
Ранно детско развитие 	НП „Без свободен час”	Модул 2 „Без свободен час в детската градина“	Национална програма	162250	2020
Ранно детско развитие 	НП „Успяваме заедно“	Модул 1 „Хубаво е в детската градина”	Национална програма	311544	2020
Ранно детско развитие 	НП „Успяваме заедно“	Модул 2 „Иновативна детска градина”	Национална програма	158199	2020
Ранно детско развитие 	НП „Успяваме заедно“	Модул 3 „Обединени за качествено предучилищно образование”	Национална програма	13499	2020
Компетентности и таланти 	НП „Система за Национално стандартизирано външно оценяване“ 		Национална програма	5118244	2020
Компетентности и таланти 	НП „Ученически олимпиади и състезания“	Модул 1 „Национални и международни ученически олимпиади и състезания”	Национална програма	1103595	2020
Компетентности и таланти 	НП „Осигуряване на съвременна образователна среда“	Модул „Подобряване на условията за експериментална работа по природни науки в профилираната подготовка “	Национална програма	1204510	2020
Компетентности и таланти 	НП „Осигуряване на съвременна образователна среда“	Модул 2 „Модул „Площадки за обучение по БДП ”	Национална програма	598863	2020
Компетентности и таланти 	НП „Осигуряване на съвременна образователна среда“	Модул 3 „Културните институции като образователна среда“	Национална програма	476055	2020
Компетентности и таланти 	НП „Осигуряване на съвременна образователна среда“	Модул 4 „Библиотеките като образователна среда”	Национална програма	762308	2020
Компетентности и таланти 	НП „Разработване на учебни помагала за обучение по общообразователни учебни предмети на чужд език, оценяване и одобряване на проекти на учебни помагала за подпомагане на обучението, организирано в чужбина, на проекти на учебници и на проекти на учебни“	Модул „Разработване на учебни помагала на чужд език за обучение по общообразователни учебни предмети ”	Национална програма	433178	2020
Компетентности и таланти 	НП „Разработване на учебни помагала за обучение по общообразователни учебни предмети на чужд език, оценяване и одобряване на проекти на учебни помагала за подпомагане на обучението, организирано в чужбина, на проекти на учебници и на проекти на учебни“	Модул „Оценяване и одобряване на проекти на учебни помагала за подпомагане на обучението, органицирано в чужбина, на проекти на учебници и на проекти на учебни комплекти“	Национална програма	628835	2020
Компетентности и таланти 	"НП ""Без свободен час"""	Модул „Без свободен час в училище“	Национална програма	2157682	2020
Компетентности и таланти 	"НП ""Роден език и култура зад граница"""	"Модул ""Подпомагане на обучението по български език и литература, по история на България и по география на България"" "	Национална програма	1724526	2020
Компетентности и таланти 	"НП ""Роден език и култура зад граница"""	Модул „Обучение на учители от българските неделни училища в чужбина“	Национална програма	270000	2020
Компетентности и таланти 	"НП ""Роден език и култура зад граница"""	Модул „Партньорства“	Национална програма	60000	2020
Мотивирани и креативни учители	НП „Квалификация“		Национална програма	766154	2020
Мотивирани и креативни учители	"НП „Оптимизиране на вътрешната структура на персонала"""		Национална програма	79677829	2020
Мотивирани и креативни учители	НП „Мотивирани учители“	Модул 1 „Дейности, насочени към нови за системата учители (със или без придобита професионална квалификация „учител“)“ 	Национална програма	363487	2020
Мотивирани и креативни учители	НП „Мотивирани учители“	Модул 2 „Дейности, насочени към придобиване на допълнителна професионална квалификация „учител по…“ и „ресурсни учители“ от заети в системата преподаватели“ 	Национална програма	199200	2020
Мотивирани и креативни учители	НП „Мотивирани учители“ 	Модул 3 „Действащи учители и специалисти с висше образование без досегашен преподавателски опит и/или квалификация, които демонстрират мотивация и нагласи за работа в предизвикателна среда, както и с ученици с ниски образователни резултати“ 	Национална програма	160480	2020
Сплотени училищни общности и системна работа с родителите	НП „Участвай и променяй – родителят, активен партньор в училищния живот“		Национална програма	498431	2020
Ефективно включване, трайно приобщаване и образователна интеграция	НП „Осигуряване на съвременна образователна среда“	Модул 1 „Подкрепа на целодневното обучение на учениците“	Национална програма	795164	2020
Ефективно включване, трайно приобщаване и образователна интеграция	НП „Осигуряване на съвременна образователна среда“	Модул 2 „Осигуряване на съвнеменна специализирана среда в центровете за специална образователна подкрепа чрез модернизиране на материалната база за предоставяне на подкрепа за личностно развитие на децата и учениците“	Национална програма		2020
Ефективно включване, трайно приобщаване и образователна интеграция	НП „Подпомагане на общините за реализиране на дейности за образователна десегрегация и превенция за недопускане на вторична сегрегация“		Национална програма	196000	2020
Ефективно включване, трайно приобщаване и образователна интеграция	НП “Заедно в грижа ученика”	Модул 1 „Осигуряване на условия за системно проследяване на личните постижения на учениците чрез създаване на индивидуално портфолио и оценъчна карта”	Национална програма	191928	2020
Ефективно включване, трайно приобщаване и образователна интеграция	НП “Заедно в грижа ученика”	"Модул 2 „Осигуряване на условия за екипна работа на учителите от началния етап с учителите от прогимназиалния етап"""	Национална програма	187565	2020
Ефективно включване, трайно приобщаване и образователна интеграция	НП “Заедно за всяко дете”	Модул 1 „Подпомагане на екипите за обхват“	Национална програма	53910	2020
Ефективно включване, трайно приобщаване и образователна интеграция	НП “Заедно за всяко дете”	Модул 2 „Добри практики за взаимодействие с родителите на децата и учениците в задължителна предучилищна и училищна възраст“	Национална програма	100000	2020
Ефективно включване, трайно приобщаване и образователна интеграция	НП „Разработване на учебни помагала за обучение по общообразователни учебни предмети на чужд език, оценяване и одобряване на проекти на учебни помагала за подпомагане на обучението, организирано в чужбина, на проекти на учебници и на проекти на учебни“	Модул 4 „Разработване на учебни помагала за обучението на ученици със специални образователни потребности и методически ръководства за адаптиране на учебното съдържание“	Национална програма	422324	2020
Ефективно включване, трайно приобщаване и образователна интеграция	"НП ""Предоставяне на съвременни условия за работа на децата и учениците в центрове за подкрепа за личностно развитие"""	"Модул ""Подкрепа на децата и учениците за работата в ЦПЛР по чл. 49, ал. 1, т. 1, и ал.4 от ЗПУО - Центрове за развитие на интересите способностите, компетентностите и изявата в обхвата на науките, технологиите, изкуствата и спорта и астрономическите обсерватории и планетариуми"""	Национална програма	1279200	2020
Ефективно включване, трайно приобщаване и образователна интеграция	"НП ""Предоставяне на съвременни условия за работа на децата и учениците в центрове за подкрепа за личностно развитие"""	"Модул ""Подкрепа на учениците за работата в ЦПЛР по чл.49, ал.3 от ЗПУО - Ученически общежития, чиято дейност не се организира от училища"""	Национална програма	97334	2020
Ефективно включване, трайно приобщаване и образователна интеграция	"НП ""Предоставяне на съвременни условия за работа на децата и учениците в центрове за подкрепа за личностно развитие"""	"Модул ""Кариерно ориентиране и консултиране на учениците чрез съвместни дейности на ЦПЛР по чл.49, ал. 1, т.2 от ЗПУО и училища"""	Национална програма	26889	2020
Ефективно включване, трайно приобщаване и образователна интеграция	"НП ""Създаване на достъпна архитектурна среда и сигурност в училище"""	"Модул ""Създаване на достъпна архитектурна среда"""	Национална програма	383991	2020
Ефективно включване, трайно приобщаване и образователна интеграция	"НП ""Ученически олимпиади и състезания"""	"Модул ""Осигуряване на обучение на талантливи ученици за участие в ученическите олимпиади"""	Национална програма	1408215	2020
Образователни иновации, дигитална трансформация и устойчиво развитие	"НП „Информационни и комуникационни технологии (ИКТ) в системата на предучилищното и училищното образование """		Национална програма	17900555	2020
Образователни иновации, дигитална трансформация и устойчиво развитие	НП „Иновации в действие“	Модул 1 „Мобилност за популяризиране и мултиплициране на добри иновации между училищата	Национална програма	1912820	2020
Образователни иновации, дигитална трансформация и устойчиво развитие	НП „Иновации в действие“	Модул 2 „Форуми за иновации в образованието“	Национална програма	50000	2020
Образователни иновации, дигитална трансформация и устойчиво развитие	НП „Иновации в действие“	"Модул 3 „Създаване на условия за иновации в образованието"""	Национална програма	5940	2020
Образователни иновации, дигитална трансформация и устойчиво развитие	НП „Изграждане на училищна STEM среда“		Национална програма	19732082	2020
Образователни иновации, дигитална трансформация и устойчиво развитие	"НП ""Създаване на достъпна архитектурна среда и сигурност в училище"""	"Модул ""Сигурност в училище"""	Национална програма	297952	2020
Реализация в професиите на настоящето и бъдещето	НП „Осигуряване на съвременна образователна среда“		Национална програма	2323176	2020
Реализация в професиите на настоящето и бъдещето	НП „Разработване на учебни помагала за обучение по общообразователни учебни предмети на чужд език, оценяване и одобряване на проекти на учебни помагала за подпомагане на обучението, организирано в чужбина, на проекти на учебници и на проекти на учебни“	Модул 3 „Разработване и/или адаптиране на учебни помагала за професионално образование и обучение“	Национална програма	281621	2020
Реализация в професиите на настоящето и бъдещето	НП „Бизнесът преподава“	Модул 1 „Бизнесът в училище“	Национална програма	281215	2020
Реализация в професиите на настоящето и бъдещето	НП „Бизнесът преподава“	Модул 2 „Учители в предприятия“	Национална програма	6426	2020
Реализация в професиите на настоящето и бъдещето	НП „Бизнесът преподава“	Модул 3 „Включване на представители на бизнеса в учебния процес в училище“	Национална програма	7340	2020
Реализация в професиите на настоящето и бъдещето	НП „Обучение за ИТ умения и кариера“		Национална програма	606000	2020
Ранно детско развитие 	BG05M2ОP001-3.005-0004 „Активно приобщаване в системата на предучилищното образование“ 		Европейски програми и проекти	12992038	2020
Ранно детско развитие 	"BG05M20P001-3.001""Подкрепа за предучилищното образование и подготовка на деца в неравностойно положение"""		Европейски програми и проекти	61255	2020
Ранно детско развитие 	Средства в лв. от националния бюджет и средства от ЕС и други международни проекти и програми в лв. 		Бюджет	150790583	2020
Компетентности и таланти 	Средства в лв. от националния бюджет и средства от ЕС и други международни проекти и програми в лв. 		Бюджет	32896745	2020
Мотивирани и креативни учители	BG05M2OP001-2.010-0001 „Квалификация за професионално развитие на педагогическите специалисти“		Европейски програми и проекти	2174029	2020
Мотивирани и креативни учители	Средства в лв. от националния бюджет и средства от ЕС и други международни проекти и програми в лв. 		Бюджет	2815373528	2020
Сплотени училищни общности и системна работа с родителите	Средства в лв. от националния бюджет и средства от ЕС и други международни проекти и програми в лв. 		Бюджет	231788	2020
Ефективно включване, трайно приобщаване и образователна интеграция	BG05M2ОP001-2.011-0001 „Подкрепа за успех“		Европейски програми и проекти	48340894	2020
Ефективно включване, трайно приобщаване и образователна интеграция	"BG05M2OP001-2.018""Социално-икономическа интеграция на уязвими групи. Интегрирани мерки за подобряване достъпа до образование“ – Компонент 1"		Европейски програми и проекти	4702055	2020
Ефективно включване, трайно приобщаване и образователна интеграция	"BG05M20P001-3.002 ""Образователна интеграция на учениците от етническите малцинства и/или търсещи или получили международна закрила"""		Европейски програми и проекти	337408	2020
Ефективно включване, трайно приобщаване и образователна интеграция	Средства в лв. от националния бюджет и средства от ЕС и други международни проекти и програми в лв. 		Бюджет	312193211	2020
Образователни иновации, дигитална трансформация и устойчиво развитие	BG05M2ОP001-2.012-0001 „Образование за утрешния ден“		Европейски програми и проекти	20886466	2020
Образователни иновации, дигитална трансформация и устойчиво развитие	Средства в лв. от националния бюджет и средства от ЕС и други международни проекти и програми в лв. 		Бюджет	24372541	2020
Реализация в професиите на настоящето и бъдещето	BG05M2OP001-2.014-0001 „Подкрепа за дуалната система на обучение“		Европейски програми и проекти	5166935	2020
Реализация в професиите на настоящето и бъдещето	"BG05M2OP001-2.013 "" Студентски практики фаза 2"""		Европейски програми и проекти	14728102	2020
Реализация в професиите на настоящето и бъдещето	Средства в лв. от националния бюджет и средства от ЕС и други международни проекти и програми в лв. 		Бюджет	46294412	2020
Учене през целия живот 	"BG05M2OP001-3.004""Ограмотяване на възрастни"" - фаза 1"		Европейски програми и проекти	414196	2020
Учене през целия живот 	Средства в лв. от националния бюджет и средства от ЕС и други международни проекти и програми в лв. 		Бюджет	14708206	2020
Ефикасно управление и участие в мрежи	Средства в лв. от националния бюджет и средства от ЕС и други международни проекти и програми в лв. 		Бюджет	222427782	2020
