Приоритетна област	Година	Средства в лв. от националния бюджет (без национални програми)	Средства от ЕС и други международни проекти и програми в лв.
Ранно детско развитие 	2018	704455903	5113344
Компетентности и таланти 	2018	53444612	2085500
Мотивирани и креативни учители	2018	1412385539	38031576
Сплотени училищни общности и системна работа с родителите	2018	305613	0
Ефективно включване, трайно приобщаване и образователна интеграция	2018	360251959	112374350
Образователни иновации, дигитална трансформация и устойчиво развитие	2018	49630555	8163659
Реализация в професиите на настоящето и бъдещето	2018	63148624	14765771
Учене през целия живот 	2018	1948921	5829895
Ефикасно управление и участие в мрежи	2018	120520698	102358625
Ранно детско развитие 	2019	792424130	4259278
Компетентности и таланти 	2019	60519107	1900853
Мотивирани и креативни учители	2019	1684006985	15549250
Сплотени училищни общности и системна работа с родителите	2019	262201	5591
Ефективно включване, трайно приобщаване и образователна интеграция	2019	390259732	89958207
Образователни иновации, дигитална трансформация и устойчиво развитие	2019	63453087	4880048
Реализация в професиите на настоящето и бъдещето	2019	68797839	12860936
Учене през целия живот 	2019	935450	7699405
Ефикасно управление и участие в мрежи	2019	144865997	77525285
Ранно детско развитие 	2020	843126691	16501841
Компетентности и таланти 	2020	36776673	542585
Мотивирани и креативни учители	2020	1989522757	37989174
Сплотени училищни общности и системна работа с родителите	2020	168298	98345
Ефективно включване, трайно приобщаване и образователна интеграция	2020	398873775	63286077
Образователни иновации, дигитална трансформация и устойчиво развитие	2020	40135780	6908764
Реализация в професиите на настоящето и бъдещето	2020	75152700	7218896
Учене през целия живот 	2020	808512	12775645
Ефикасно управление и участие в мрежи	2020	134640411	69467050
