Приоритетна област	Програма	Модул	Вид	Средства	Година
Ранно детско развитие	НП БЕЗ СВОБОДЕН ЧАС	Модул 2 - Без свободен час в детската градина	Национална програма	162250	2020
Ранно детско развитие	BG05M2ОP001-3.005-0004 Активно приобщаване в системата на предучилищното образование		Европейски програми и проекти	12992038.21	2020
Ранно детско развитие	BG05M20P001-3.001 Подкрепа за предучилищното образование и подготовка на деца в неравностойно положение		Европейски програми и проекти	61254.98	2020
Компетентности и таланти	НП СИСТЕМА ЗА НАЦИОНАЛНО СТАНДАРТИЗИРАНО ВЪНШНО ОЦЕНЯВАНЕ		Национална програма	5118244	2020
Компетентности и таланти	НП УЧЕНИЧЕСКИ ОЛИМПИАДИ И СЪСТЕЗАНИЯ	Модул 1 Национални и международни ученически олимпиади и състезания	Национална програма	1130095	2020
Компетентности и таланти	НП УЧЕНИЧЕСКИ ОЛИМПИАДИ И СЪСТЕЗАНИЯ	Модул 2 Осигуряване на обучение на талантливи ученици за участие в ученическите олимпиади	Национална програма	1408215	2020
Компетентности и таланти	НП ОСИГУРЯВАНЕ НА СЪВРЕМЕННА ОБРАЗОВАТЕЛНА СРЕДА	Модул Подобряване на условията за експериментална работа по природни науки	Национална програма	1204510	2020
Компетентности и таланти	НП ОСИГУРЯВАНЕ НА СЪВРЕМЕННА ОБРАЗОВАТЕЛНА СРЕДА	Модул Културните институции като образователна среда	Национална програма	476055	2020
Компетентности и таланти	НП ОСИГУРЯВАНЕ НА СЪВРЕМЕННА ОБРАЗОВАТЕЛНА СРЕДА	Модул Библиотеките като образователна среда	Национална програма	762308	2020
Компетентности и таланти	НП ОСИГУРЯВАНЕ НА СЪВРЕМЕННА ОБРАЗОВАТЕЛНА СРЕДА	Модул Площадки за обучение по безопасност на движението по пътищата	Национална програма	598863	2020
Компетентности и таланти	НП БИЗНЕСЪТ ПРЕПОДАВА		Национална програма	294981	2020
Компетентности и таланти	НП РАЗРАБОТВАНЕ НА УЧЕБНИ ПОМАГАЛА ЗА ОБУЧЕНИЕ ПО ОБЩООБРАЗОВАТЕЛНИ УЧЕБНИ ПРЕДМЕТИ НА ЧУЖД ЕЗИК, ОЦЕНЯВАНЕ И ОДОБРЯВАНЕ НА ПРОЕКТИ НА УЧЕБНИ ПОМАГАЛА ЗА ПОДПОМАГАНЕ НА ОБУЧЕНИЕТО, ОРГАНИЗИРАНО В ЧУЖБИНА, НА ПРОЕКТИ НА УЧЕБНИЦИ И НА ПРОЕКТИ НА УЧЕБНИ КОМПЛЕКТИ	Модул Разработване на учебни помагала за обучение по общообразователни предмети на чужд език	Национална програма	433178	2020
Компетентности и таланти	НП ПРЕДОСТАВЯНЕ НА СЪВРЕМЕННИ УСЛОВИЯ ЗА ПОДКРЕПА ЗА ЛИЧНОСТНО РАЗВИТИЕ НА ДЕЦАТА И УЧЕНИЦИТЕ В ИНСТИТУЦИИ В СИСТЕМАТА НА ПРЕДУЧИЛИЩНОТО И УЧИЛИЩНОТО ОБРАЗОВАНИЕ	 Модул А Подкрепа на децата и учениците за работата в ЦПЛР по чл. 49, ал. 1, т. 1 и ал. 4 от ЗПУО – центрове за развитие на интересите, способностите, компетентностите и изявата в областта на науките, технологиите, изкуствата и спорта и астрономически обсерватории и планетариуми	Национална програма	1279200	2020
Компетентности и таланти	НП ПРЕДОСТАВЯНЕ НА СЪВРЕМЕННИ УСЛОВИЯ ЗА ПОДКРЕПА ЗА ЛИЧНОСТНО РАЗВИТИЕ НА ДЕЦАТА И УЧЕНИЦИТЕ В ИНСТИТУЦИИ В СИСТЕМАТА НА ПРЕДУЧИЛИЩНОТО И УЧИЛИЩНОТО ОБРАЗОВАНИЕ	Модул Б Подкрепа на учениците за работата в ЦПЛР по чл. 49, ал. 3 от ЗПУО – ученически общежития, чиято дейност не се организира от училища	Национална програма	97334	2020
Компетентности и таланти	НП БЕЗ СВОБОДЕН ЧАС	Модул Без свободен час в училище	Национална програма	2159919	2020
Мотивирани и креативни учители	НП КВАЛИФИКАЦИЯ		Национална програма	766154	2020
Мотивирани и креативни учители	НП ОПТИМИЗИРАНЕ НА ВЪТРЕШНАТА СТРУКТУРА НА ПЕРСОНАЛА		Национална програма	79677829	2020
Мотивирани и креативни учители	НП МОТИВИРАНИ УЧИТЕЛИ	Модул 1 Дейности, насочени към нови за системата учители (със или без придобита професионална квалификация учител)	Национална програма	363487	2020
Мотивирани и креативни учители	НП МОТИВИРАНИ УЧИТЕЛИ	Модул 2 Дейности, насочени към придобиване на допълнителна професионална квалификация учител по… и ресурсни учители от заети в системата преподаватели	Национална програма	199200	2020
Мотивирани и креативни учители	НП МОТИВИРАНИ УЧИТЕЛИ	Модул 3 Действащи учители и специалисти с висше образование без досегашен преподавателски опит и/или квалификация, които демонстрират мотивация и нагласи за работа в предизвикателна среда, както и с ученици с ниски образователни резултати	Национална програма	160480	2020
Мотивирани и креативни учители	BG05M2OP001-2.010-0001 Квалификация за професионално развитие на педагогическите специалисти		Европейски програми и проекти	2174029	2020
Сплотени училищни общности и системна работа с родителите	НП УСПЯВАМЕ ЗАЕДНО	Модул 1 Хубаво е в детската градина	Национална програма	311544	2020
Сплотени училищни общности и системна работа с родителите	НП УСПЯВАМЕ ЗАЕДНО	Модул 2 Иновативна детска градина	Национална програма	158199	2020
Сплотени училищни общности и системна работа с родителите	НП УЧАСТВАЙ И ПРОМЕНЯЙ – РОДИТЕЛЯТ, АКТИВЕН ПАРТНЬОР В УЧИЛИЩНИЯ ЖИВОТ		Национална програма	498431	2020
Сплотени училищни общности и системна работа с родителите	НП ЗАЕДНО В ГРИЖАТА ЗА ВСЕКИ УЧЕНИК	Модул Осигуряване на условия за екипна работа на учителите от началния етап с детски учители и учители по учебни предмети от прогимназиалния етап	Национална програма	187565	2020
