Приоритетна област	Година	Средства в лв. от националния бюджет (без национални програми)	Средства от ЕС и други международни проекти и програми в лв.
Ранно детско развитие 	2018	0	0
Компетентности и таланти 	2018	0	0
Мотивирани и креативни учители	2018	0	0
Сплотени училищни общности и системна работа с родителите	2018	0	0
Ефективно включване, трайно приобщаване и образователна интеграция	2018	0	0
Образователни иновации, дигитална трансформация и устойчиво развитие	2018	0	0
Реализация в професиите на настоящето и бъдещето	2018	0	0
Учене през целия живот 	2018	0	0
Ефикасно управление и участие в мрежи	2018	0	0
Ранно детско развитие 	2019	0	0
Компетентности и таланти 	2019	0	0
Мотивирани и креативни учители	2019	0	0
Сплотени училищни общности и системна работа с родителите	2019	0	0
Ефективно включване, трайно приобщаване и образователна интеграция	2019	0	0
Образователни иновации, дигитална трансформация и устойчиво развитие	2019	0	0
Реализация в професиите на настоящето и бъдещето	2019	0	0
Учене през целия живот 	2019	0	0
Ефикасно управление и участие в мрежи	2019	0	0
Ранно детско развитие 	2020	0	0
Компетентности и таланти 	2020	0	0
Мотивирани и креативни учители	2020	0	0
Сплотени училищни общности и системна работа с родителите	2020	0	0
Ефективно включване, трайно приобщаване и образователна интеграция	2020	0	0
Образователни иновации, дигитална трансформация и устойчиво развитие	2020	0	0
Реализация в професиите на настоящето и бъдещето	2020	0	0
Учене през целия живот 	2020	0	0
Ефикасно управление и участие в мрежи	2020	0	0
